sha,commit/committer/date,commit/message,committer/login,committer/id,InsertQuery,,,,,
48331f3f08ab31503310f352f72e1dae9c6b764b,2016-04-20T23:04:24Z,py,yemao616,16628107,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('48331f3f08ab31503310f352f72e1dae9c6b764b','16628107','yemao616','2016-04-20T23:04:24Z','py');"
16645162c2d8d9cf4bc0cfb14a2d530307c9ed13,2016-04-20T14:18:15Z,get our github issue data,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('16645162c2d8d9cf4bc0cfb14a2d530307c9ed13','16145028','YiqiaoXu-Joe','2016-04-20T14:18:15Z','get our github issue data');"
bd965d4cd96b72ad06274a948025c796353d0ff9,2016-04-20T02:03:45Z,Merge branch \'master\' of github.com:arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('bd965d4cd96b72ad06274a948025c796353d0ff9','16145028','YiqiaoXu-Joe','2016-04-20T02:03:45Z','Merge branch \'master\' of github.com:arnabsaha1011/mypackse');"
6bd14b6e8bc8354bae54430f1dc1d96b677bfb9a,2016-04-20T02:03:29Z,add python file and run,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('6bd14b6e8bc8354bae54430f1dc1d96b677bfb9a','16145028','YiqiaoXu-Joe','2016-04-20T02:03:29Z','add python file and run');"
571ae31ac11801e8cc442eca56a03466934ae881,2016-04-19T00:58:20Z,Adding GIFs to readmes,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('571ae31ac11801e8cc442eca56a03466934ae881','13953290','asaha1','2016-04-19T00:58:20Z','Adding GIFs to readmes');"
8553ae885b1e167f55c43cc715f7a65455264022,2016-04-19T00:55:15Z,Adding GIFs,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('8553ae885b1e167f55c43cc715f7a65455264022','13953290','asaha1','2016-04-19T00:55:15Z','Adding GIFs');"
18a69799c95a3889e3378ddbccc94a20b60c61ff,2016-04-19T00:36:47Z,fix something,YiqiaoXu-Joe,16145028,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('18a69799c95a3889e3378ddbccc94a20b60c61ff','16145028','YiqiaoXu-Joe','2016-04-19T00:36:47Z','fix something');"
5555444bbf9d57ff224254daf43157095a296604,2016-04-18T19:25:06Z,fixed bug,sju88,16637176,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('5555444bbf9d57ff224254daf43157095a296604','16637176','sju88','2016-04-18T19:25:06Z','fixed bug');"
7799df5648313f69a4b1112035d3a94b4a01cab9,2016-04-18T05:35:24Z,add time line function,sju88,16637176,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('7799df5648313f69a4b1112035d3a94b4a01cab9','16637176','sju88','2016-04-18T05:35:24Z','add time line function');"
63ac9913543a685248c81f99a6320bea07493959,2016-04-15T02:06:12Z,changed solution 3 readme,asaha1,13953290,"INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values (",);,',",","','","INSERT INTO COMMIT(COMMIT_ID,COMMIT_USER_ID,COMMIT_USER_NAME,COMMIT_TIMESTAMP,COMMIT_DESC) values ('63ac9913543a685248c81f99a6320bea07493959','13953290','asaha1','2016-04-15T02:06:12Z','changed solution 3 readme');"
