sha,COMMIT_USER_ID,COMMIT_TIMESTAMP,COMMIT_DESC
9684df02dc9c0f154b0723b5d758aa0767d6c319,yiqiaoxu_joe,2016-04-24T01:27:47Z,push our json file
ae3bbcc1b515942ad053d31ad7d32356771acfae,asaha1,2016-04-24T00:57:35Z,add some features
8d17426a51afc53d216654671ed4842ae3bacb8b,yemao616,2016-04-24T00:30:53Z,Merge branch 'master' of github.com:arnabsaha1011/mypackse
46b4ea6c669952b0d581645d9aeaf38708a541ee,yemao616,2016-04-24T00:29:45Z,add features
882b8b72256bd03669601b3d7fdc763ed90092aa,yemao616,2016-04-24T00:25:41Z,add features
394dfc52521d9e61754f76047dcfd0c8a0f0ff12,yemao616,2016-04-24T00:09:17Z,Delete output.txt
c220d1cb8f94e7e6c7abd2dbde987d41fe232cb1,asaha1,2016-04-23T23:55:54Z,"connect to mysql and insert, ignore the Null pointer error, it doesn't mater"
9e7f0fe9c6bf5c6573d60bcd383c86df82744703,asaha1,2016-04-23T22:53:34Z,Updating output.txt
c4bc2292279388c41e378f6d20bf5ab5223ec266,asaha1,2016-04-23T21:57:20Z,Adding sql files
ceb55b6b4f27ea9a98cdbb7d7bb08f2dac235e6e,asaha1,2016-04-22T15:10:13Z,Adding ppt
48331f3f08ab31503310f352f72e1dae9c6b764b,yemao616,2016-04-20T23:04:24Z,py
16645162c2d8d9cf4bc0cfb14a2d530307c9ed13,yiqiaoxu_joe,2016-04-20T14:18:15Z,get our github issue data
bd965d4cd96b72ad06274a948025c796353d0ff9,yiqiaoxu_joe,2016-04-20T02:03:45Z,Merge branch 'master' of github.com:arnabsaha1011/mypackse
6bd14b6e8bc8354bae54430f1dc1d96b677bfb9a,yiqiaoxu_joe,2016-04-20T02:03:29Z,add python file and run
571ae31ac11801e8cc442eca56a03466934ae881,asaha1,2016-04-19T00:58:20Z,Adding GIFs to readmes
8553ae885b1e167f55c43cc715f7a65455264022,asaha1,2016-04-19T00:55:15Z,Adding GIFs
18a69799c95a3889e3378ddbccc94a20b60c61ff,yiqiaoxu_joe,2016-04-19T00:36:47Z,fix something
5555444bbf9d57ff224254daf43157095a296604,sju,2016-04-18T19:25:06Z,fixed bug
7799df5648313f69a4b1112035d3a94b4a01cab9,sju,2016-04-18T05:35:24Z,add time line function
63ac9913543a685248c81f99a6320bea07493959,asaha1,2016-04-15T02:06:12Z,changed solution 3 readme
2bc05852068611d9a5372d8e0afb66ca212b8a3a,asaha1,2016-04-15T01:49:47Z,Fixed Time line in solution 3
4a6fbef1608760a8fd279dbfad4edd4bc1f7a61f,asaha1,2016-04-08T03:57:16Z,Adding SAWM
30ab8a26b969ae00e5a7b8e4699b56b43e7fb2fa,asaha1,2016-04-08T03:55:57Z,Updating soln 3
a6099bbd56301372c528dcdaa166dac6f9de4665,yemao616,2016-04-08T02:40:26Z,fix Readme
abc716a91c1b255163282e9e7fa7febcc0209e78,asaha1,2016-04-08T02:32:47Z,Adding the final pdf
442bc4cbae16b7d33fdc21086107505106293b4e,asaha1,2016-04-08T02:30:46Z,Adding the final pdf
6f21571cb0c185565a8da1e79a8d9e6cc2490d0e,asaha1,2016-04-08T01:56:53Z,itinerary image
9cc936589b14778e7b5280dadf7c826df99b65bb,YiqiaoXu-Joe,2016-04-07T21:56:15Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
e625cc9c01385fe8880d2af32fbcc476f9cc798f,YiqiaoXu-Joe,2016-04-07T21:56:11Z,fix readme
1b61983393ea70e072d6107103312db268dc65c9,yemao616,2016-04-07T20:09:23Z,fix Readme
b546f06c87baead49fb8bb7c916162bc099178a1,yemao616,2016-04-07T19:59:57Z,fix Readme
65806e02974758cb3d964efed956b6fc453acf06,yemao616,2016-04-07T19:58:05Z,fix Readme
9f806086ed984a8f24db034e293ef89b7e974e6e,yemao616,2016-04-07T19:56:49Z,fix Readme
96ae7f81be8012b4e7555db4aadd909a72c7b312,yemao616,2016-04-07T19:54:26Z,fix Readme
745d538918c35bca04ef2af1d612ebb458e217ee,yemao616,2016-04-07T19:53:37Z,fix Readme
f7ed85ee1050ffcdbbd90efe74d138ba5b4e2f5a,yemao616,2016-04-07T19:52:04Z,fix Readme
defb18f5210604d97124b8e7f6bfe3390d17eabd,yemao616,2016-04-07T19:49:59Z,fix Readme
bad5a042ca6d5745f53188349ec5e332e1f8d790,yemao616,2016-04-07T19:36:33Z,fix Readme
71224363f5a602afb53f1e376339badcae58635a,yemao616,2016-04-07T19:32:38Z,fix Readme
3c5c32cb12cda5c38903b681a62250d554c942b7,yemao616,2016-04-07T19:30:30Z,fix Readme
269748daf260668eacd9a120bb8b74e103d410e5,yemao616,2016-04-07T19:25:12Z,fix Readme
8504fd5ac528fb864457e431b9fabe8447330f96,yemao616,2016-04-07T19:20:52Z,April Readme
2f99e6e0440428e014cb4405135d7f323da624f6,yemao616,2016-04-07T19:12:43Z,April Readme
0c4eea59d5e6f7c388d6821fc509b2f17df2ed6d,yemao616,2016-04-07T18:52:45Z,April Readme
6f6f04bbd64d5d2c6e07c9118b276a72cb9f3ca2,yemao616,2016-04-07T18:33:56Z,April Readme
045e054d374d12ba016f081880bfd0dcbdd713c8,yemao616,2016-04-07T18:26:21Z,April Readme
f059147f40e9798dee4571a944a34ea4929af6ab,sju,2016-04-07T18:16:08Z,delete idea file
ec56de3fc18ba0ba4dd0da937d030bdc40946aef,yemao616,2016-04-07T18:14:20Z,Delete Solutions
5f82271f7bae3945bbfff51b5cfa4a5f804ba785,yemao616,2016-04-07T18:13:41Z,April Readme
6a2a55f9009818d1a9fc78f1211874fef4b5e4b3,yemao616,2016-04-07T18:09:46Z,Delete hello
70d4154f9d7f6b37851aa38862fb170373d93c16,yemao616,2016-04-07T18:09:32Z,Delete Solution
d7f4fb6bd943dc0516da0ae583603b93877b2b0d,yemao616,2016-04-07T18:08:59Z,April Readme
aa6237291081ede6f8af7c69123f2d2c89614a82,sju,2016-04-07T17:51:27Z,add image
5f2d8510a7ba93760cdf21087f6da706d3b2db79,sju,2016-04-07T17:49:51Z,edit README
91db452f72a89dec43b2e687d2812a811abdbcf5,sju,2016-04-07T17:45:00Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
6b93f672971fed61081410affc9e4fba8d48e675,sju,2016-04-07T17:44:18Z,edit solution 2 readme.md
4ad187b910103f398c61e3db6c21efc3bd85157f,yemao616,2016-04-07T17:35:33Z,folder
17fb9764cf5d85416262ad7ac904307a492cb10a,asaha1,2016-04-07T15:34:33Z,SAWM results
197af8d989bd148e797e276b6f964668bbb74397,YiqiaoXu-Joe,2016-04-07T14:43:10Z,fix solution1 readme file
8309776e203fc19d4906f152e9599fd6159f37d8,YiqiaoXu-Joe,2016-04-07T14:42:17Z,fix solution1 readme file
72d2c225d0a93b9b598ffc54bc9e01d01c733436,YiqiaoXu-Joe,2016-04-07T14:40:07Z,edit solution1 readme file
6c40d3b4b69d17361b2f10ae8d21e4b58506690f,asaha1,2016-04-07T04:16:04Z,presentation
9d68a7dc0a4edfa5aa2d6045465a1dc4dca47447,asaha1,2016-04-07T04:11:33Z,Changing folder structure
701adbb29fcd5c1aca5797090b5c7255a7babb11,asaha1,2016-04-07T00:39:40Z,Read me file
fb7d9aaf4e23566befa655c14b7dbb1fc7427e84,asaha1,2016-04-07T00:31:28Z,Read me file
e8a87b2a0861f040d76185410ae4115462bce4b6,asaha1,2016-04-06T23:35:38Z,Added user data file
26d26b4996058e13c106b8f7fb912a1741753dd7,asaha1,2016-04-06T16:47:06Z,readme s for april and may
ced40d76dbea2a1e9f77e89f18369f10c1e11d03,asaha1,2016-04-06T16:45:02Z,"Boxplots, t-tests and anova"
f6af8935cce3c01d0e4652c73058c83a0eb55ad2,YiqiaoXu-Joe,2016-04-05T20:45:41Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
1a0f792938c179cfeb5a36b2a76294452b3f2e46,YiqiaoXu-Joe,2016-04-05T20:45:26Z,done
58b8be31e7f31a85e441a8efc8d5da9bb7fc555e,sju,2016-04-04T02:54:56Z,modify solution 2
c406affa9df8b1b26a5c1a28e1c2af63cc221e6f,YiqiaoXu-Joe,2016-04-04T00:22:23Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
ea9d24e000435312e7bce4047e75024cbb3b37f0,YiqiaoXu-Joe,2016-04-04T00:22:16Z,small things fixed
500e0a96ce577993adb1a899883dcf35bdf1b41d,Arnab Saha,2016-04-03T21:58:29Z,Create Post Survey
5861e144202e69ff28713ee33a34b2f867f96ecd,Arnab Saha,2016-04-03T16:47:31Z,Update User test for 3 solutions
175b04670bd62e59323843e2dce6578dc869f74f,YiqiaoXu-Joe,2016-04-03T07:08:48Z,done
d679b685c6aa9d20f01f1693084d6bc12077d55d,YiqiaoXu-Joe,2016-04-03T06:51:05Z,function done
82a8f3d82b70ec8a5f48f904ec23cbabd7cabb1a,sju,2016-04-02T03:18:06Z,solution1 version2
b988ad697e23bb155b98e8512ebff56328159f3a,yemao616,2016-04-02T02:12:40Z,Update User test for 3 solutions
facd0bc8ed54a5e6aa1396e3ac963f1cc24071f6,yemao616,2016-04-02T02:11:47Z,update user test
20af8e01142c05f58e82f7999a76a2afd146f62f,yemao616,2016-04-02T02:10:37Z,update user test
5f2d29ebdaf49ae6759ae35c312f8fe74c8ac576,yemao616,2016-04-02T02:09:50Z,update user test
cf605df5a5d07ed3f93facf7b0588c99cf72624e,yemao616,2016-04-02T02:08:44Z,Delete SE User test .pdf
f8937162770b2a8cd33a0f93a08aec2b122e3516,yemao616,2016-04-02T02:07:49Z,update user test
456d2336052576b1566fcf436d7b6533d75d5042,sju,2016-04-02T02:02:24Z,solution1 version 1
cebf45bc257280116ac013bb549a33460579b8a9,yemao616,2016-04-02T01:44:28Z,Delete SE User test .pdf
0ff54ef9738fe1c05263267a7b553278677f1592,sju,2016-04-02T00:10:34Z,almost finished
7729c3c93b13323cbfc3b221dcbd615e50c4052b,yemao616,2016-04-01T20:01:43Z,update user test
388f031088a0cc692b0c32d58eccfa6502630b40,yemao616,2016-04-01T19:59:18Z,update user test
e18f53bb85a2dc65b2861398a6072bd909f1275a,sju,2016-04-01T19:13:21Z,implement travel time calc function
131294d106213ae214b0cf7064effaaa4fabd2d0,yemao616,2016-04-01T19:03:00Z,Update User test for 3 solutions
479081e9e312c52eb519d6b411e1d88025b706b7,yemao616,2016-04-01T19:00:57Z,Update User test for 3 solutions
3010d8e58f68e4d9729c6f712f66a3cde6446cf4,YiqiaoXu-Joe,2016-04-01T18:58:41Z,make source code readable and store lonlat of select place in a array for derection and list
882ccc2ef95e750828ecdbebde5a53a12f860741,sju,2016-04-01T13:13:22Z,add path time function
904bbade163cfb967f33f41d97dde87340825dce,yemao616,2016-04-01T03:15:53Z,Update User test for 3 solutions
2ccee7353d2def42ceb42f06b8325013d91cc61b,yemao616,2016-04-01T03:15:03Z,Update User test for 3 solutions
c3f89475ac838cff4ca3fbef689f8780ce953405,yemao616,2016-04-01T03:01:52Z,Update User test for 3 solutions
0ef2477cc33044c1b33b3d41f9d7ff864c1dac3a,yemao616,2016-04-01T03:01:22Z,Update User test for 3 solutions
9883f3874ea8ec9e517574cafdddfebf80565bad,yemao616,2016-04-01T02:59:27Z,Update User test for 3 solutions
106296f3f68e8b7cb4d120570a9aa2896aba156b,YiqiaoXu-Joe,2016-04-01T02:45:25Z,store places which user select from nearby search and hide other markers
ea558ce6eac27d60ff13aaebd28fe708b6f0a3cb,YiqiaoXu-Joe,2016-04-01T00:26:27Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
791c2bfee0cffeb5d85aafe78bdcadc619571832,YiqiaoXu-Joe,2016-04-01T00:26:17Z,click times and keybord input characters count
7a7c68272e62f19d6c2491bead3e076614783ce0,yemao616,2016-03-31T03:17:19Z,Update User test for 3 solutions
db53d43de9c2f98fc90a27d899d586a1510a9943,yemao616,2016-03-31T02:10:11Z,Create User test for 3 solutions
6025a8678038560107e9963da71275b60e67a3d7,MaoYe,2016-03-29T21:28:28Z,arrange folders
95befdbafb1f6c78d25d2968d45da4d4c450f5cb,yemao616,2016-03-29T21:25:45Z,Update and rename What we have in Solution_2 to What we have in Solution_3
b0929a71ebc46d6b49a3e29894ad922cfadd18a1,MaoYe,2016-03-29T21:22:09Z,arrange folders
