sha,commit/committer/date,commit/message,committer/login,committer/id
9684df02dc9c0f154b0723b5d758aa0767d6c319,2016-04-24T01:27:47Z,push our json file,YiqiaoXu-Joe,16145028
ae3bbcc1b515942ad053d31ad7d32356771acfae,2016-04-24T00:57:35Z,add some features,asaha1,13953290
8d17426a51afc53d216654671ed4842ae3bacb8b,2016-04-24T00:30:53Z,Merge branch 'master' of github.com:arnabsaha1011/mypackse,yemao616,16628107
46b4ea6c669952b0d581645d9aeaf38708a541ee,2016-04-24T00:29:45Z,add features,yemao616,16628107
882b8b72256bd03669601b3d7fdc763ed90092aa,2016-04-24T00:25:41Z,add features,yemao616,16628107
394dfc52521d9e61754f76047dcfd0c8a0f0ff12,2016-04-24T00:09:17Z,Delete output.txt,yemao616,16628107
c220d1cb8f94e7e6c7abd2dbde987d41fe232cb1,2016-04-23T23:55:54Z,"connect to mysql and insert, ignore the Null pointer error, it doesn't mater",asaha1,13953290
9e7f0fe9c6bf5c6573d60bcd383c86df82744703,2016-04-23T22:53:34Z,Updating output.txt,asaha1,13953290
c4bc2292279388c41e378f6d20bf5ab5223ec266,2016-04-23T21:57:20Z,Adding sql files,asaha1,13953290
ceb55b6b4f27ea9a98cdbb7d7bb08f2dac235e6e,2016-04-22T15:10:13Z,Adding ppt,asaha1,13953290
48331f3f08ab31503310f352f72e1dae9c6b764b,2016-04-20T23:04:24Z,py,yemao616,16628107
16645162c2d8d9cf4bc0cfb14a2d530307c9ed13,2016-04-20T14:18:15Z,get our github issue data,YiqiaoXu-Joe,16145028
bd965d4cd96b72ad06274a948025c796353d0ff9,2016-04-20T02:03:45Z,Merge branch 'master' of github.com:arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028
6bd14b6e8bc8354bae54430f1dc1d96b677bfb9a,2016-04-20T02:03:29Z,add python file and run,YiqiaoXu-Joe,16145028
571ae31ac11801e8cc442eca56a03466934ae881,2016-04-19T00:58:20Z,Adding GIFs to readmes,asaha1,13953290
8553ae885b1e167f55c43cc715f7a65455264022,2016-04-19T00:55:15Z,Adding GIFs,asaha1,13953290
18a69799c95a3889e3378ddbccc94a20b60c61ff,2016-04-19T00:36:47Z,fix something,YiqiaoXu-Joe,16145028
5555444bbf9d57ff224254daf43157095a296604,2016-04-18T19:25:06Z,fixed bug,sju88,16637176
7799df5648313f69a4b1112035d3a94b4a01cab9,2016-04-18T05:35:24Z,add time line function,sju88,16637176
63ac9913543a685248c81f99a6320bea07493959,2016-04-15T02:06:12Z,changed solution 3 readme,asaha1,13953290
2bc05852068611d9a5372d8e0afb66ca212b8a3a,2016-04-15T01:49:47Z,Fixed Time line in solution 3,asaha1,13953290
4a6fbef1608760a8fd279dbfad4edd4bc1f7a61f,2016-04-08T03:57:16Z,Adding SAWM,asaha1,13953290
30ab8a26b969ae00e5a7b8e4699b56b43e7fb2fa,2016-04-08T03:55:57Z,Updating soln 3,asaha1,13953290
a6099bbd56301372c528dcdaa166dac6f9de4665,2016-04-08T02:40:26Z,fix Readme,yemao616,16628107
abc716a91c1b255163282e9e7fa7febcc0209e78,2016-04-08T02:32:47Z,Adding the final pdf,asaha1,13953290
442bc4cbae16b7d33fdc21086107505106293b4e,2016-04-08T02:30:46Z,Adding the final pdf,asaha1,13953290
6f21571cb0c185565a8da1e79a8d9e6cc2490d0e,2016-04-08T01:56:53Z,itinerary image,asaha1,13953290
9cc936589b14778e7b5280dadf7c826df99b65bb,2016-04-07T21:56:15Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse,YiqiaoXu-Joe,16145028
e625cc9c01385fe8880d2af32fbcc476f9cc798f,2016-04-07T21:56:11Z,fix readme,YiqiaoXu-Joe,16145028
1b61983393ea70e072d6107103312db268dc65c9,2016-04-07T20:09:23Z,fix Readme,yemao616,16628107
b546f06c87baead49fb8bb7c916162bc099178a1,2016-04-07T19:59:57Z,fix Readme,yemao616,16628107
65806e02974758cb3d964efed956b6fc453acf06,2016-04-07T19:58:05Z,fix Readme,yemao616,16628107
9f806086ed984a8f24db034e293ef89b7e974e6e,2016-04-07T19:56:49Z,fix Readme,yemao616,16628107
96ae7f81be8012b4e7555db4aadd909a72c7b312,2016-04-07T19:54:26Z,fix Readme,yemao616,16628107
745d538918c35bca04ef2af1d612ebb458e217ee,2016-04-07T19:53:37Z,fix Readme,yemao616,16628107
f7ed85ee1050ffcdbbd90efe74d138ba5b4e2f5a,2016-04-07T19:52:04Z,fix Readme,yemao616,16628107
defb18f5210604d97124b8e7f6bfe3390d17eabd,2016-04-07T19:49:59Z,fix Readme,yemao616,16628107
bad5a042ca6d5745f53188349ec5e332e1f8d790,2016-04-07T19:36:33Z,fix Readme,yemao616,16628107
71224363f5a602afb53f1e376339badcae58635a,2016-04-07T19:32:38Z,fix Readme,yemao616,16628107
3c5c32cb12cda5c38903b681a62250d554c942b7,2016-04-07T19:30:30Z,fix Readme,yemao616,16628107
269748daf260668eacd9a120bb8b74e103d410e5,2016-04-07T19:25:12Z,fix Readme,yemao616,16628107
8504fd5ac528fb864457e431b9fabe8447330f96,2016-04-07T19:20:52Z,April Readme,yemao616,16628107
2f99e6e0440428e014cb4405135d7f323da624f6,2016-04-07T19:12:43Z,April Readme,yemao616,16628107
0c4eea59d5e6f7c388d6821fc509b2f17df2ed6d,2016-04-07T18:52:45Z,April Readme,yemao616,16628107
6f6f04bbd64d5d2c6e07c9118b276a72cb9f3ca2,2016-04-07T18:33:56Z,April Readme,yemao616,16628107
045e054d374d12ba016f081880bfd0dcbdd713c8,2016-04-07T18:26:21Z,April Readme,yemao616,16628107
f059147f40e9798dee4571a944a34ea4929af6ab,2016-04-07T18:16:08Z,delete idea file,sju88,16637176
ec56de3fc18ba0ba4dd0da937d030bdc40946aef,2016-04-07T18:14:20Z,Delete Solutions,yemao616,16628107
5f82271f7bae3945bbfff51b5cfa4a5f804ba785,2016-04-07T18:13:41Z,April Readme,yemao616,16628107
6a2a55f9009818d1a9fc78f1211874fef4b5e4b3,2016-04-07T18:09:46Z,Delete hello,yemao616,16628107
70d4154f9d7f6b37851aa38862fb170373d93c16,2016-04-07T18:09:32Z,Delete Solution,yemao616,16628107
d7f4fb6bd943dc0516da0ae583603b93877b2b0d,2016-04-07T18:08:59Z,April Readme,yemao616,16628107
aa6237291081ede6f8af7c69123f2d2c89614a82,2016-04-07T17:51:27Z,add image,sju88,16637176
5f2d8510a7ba93760cdf21087f6da706d3b2db79,2016-04-07T17:49:51Z,edit README,sju88,16637176
91db452f72a89dec43b2e687d2812a811abdbcf5,2016-04-07T17:45:00Z,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse,sju88,16637176
6b93f672971fed61081410affc9e4fba8d48e675,2016-04-07T17:44:18Z,edit solution 2 readme.md,sju88,16637176
4ad187b910103f398c61e3db6c21efc3bd85157f,2016-04-07T17:35:33Z,folder,yemao616,16628107
17fb9764cf5d85416262ad7ac904307a492cb10a,2016-04-07T15:34:33Z,SAWM results,asaha1,13953290
197af8d989bd148e797e276b6f964668bbb74397,2016-04-07T14:43:10Z,fix solution1 readme file,YiqiaoXu-Joe,16145028
8309776e203fc19d4906f152e9599fd6159f37d8,2016-04-07T14:42:17Z,fix solution1 readme file,YiqiaoXu-Joe,16145028
72d2c225d0a93b9b598ffc54bc9e01d01c733436,2016-04-07T14:40:07Z,edit solution1 readme file,YiqiaoXu-Joe,16145028
6c40d3b4b69d17361b2f10ae8d21e4b58506690f,2016-04-07T04:16:04Z,presentation,asaha1,13953290
