url,id,number,title,user/login,user/id,state,assignee/login,assignee/id,milestone/id,milestone/number,comments,created_at,updated_at,closed_at,body
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/52,146780329,52,Presentation slides creation,priysha,16611558,closed,priysha,16611558,,,0,2016-04-08T00:42:55Z,2016-04-08T02:37:57Z,2016-04-08T02:37:57Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/51,146161592,51,See the logs and establish results,shivamgulati1991,14206806,closed,shifalijain,13879303,1680494,9,1,2016-04-06T01:56:30Z,2016-04-07T21:46:25Z,2016-04-07T21:46:25Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/50,146161436,50,Add graphics to the final report,priysha,16611558,closed,priysha,16611558,1564281,3,2,2016-04-06T01:55:10Z,2016-04-08T00:36:23Z,2016-04-08T00:36:23Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/49,146160835,49,Create report abstract and summary,shivamgulati1991,14206806,closed,priysha,16611558,1564281,3,0,2016-04-06T01:50:46Z,2016-04-08T00:42:00Z,2016-04-08T00:42:00Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/48,146160757,48,Create stats from user surveys and interviews,nishtha02,11819791,closed,nishtha02,11819791,1680494,9,1,2016-04-06T01:49:53Z,2016-04-07T21:43:04Z,2016-04-07T21:43:04Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/47,145550616,47,Final report ,shivamgulati1991,14206806,closed,shifalijain,13879303,1564281,3,2,2016-04-03T23:07:28Z,2016-04-08T02:36:43Z,2016-04-08T02:36:43Z,"Content focus:Project idea, solutions, analysis and conclusion "
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/46,145549788,46,Establishing results from user interviews,shivamgulati1991,14206806,closed,nishtha02,11819791,1680494,9,1,2016-04-03T23:01:58Z,2016-04-08T02:36:49Z,2016-04-08T02:36:49Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/45,145549625,45,Survey analysis,shivamgulati1991,14206806,closed,nishtha02,11819791,1680494,9,1,2016-04-03T23:01:14Z,2016-04-06T01:47:20Z,2016-04-06T01:47:20Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/44,145549528,44,Data collection Analysis,shivamgulati1991,14206806,closed,priysha,16611558,1680494,9,0,2016-04-03T23:00:51Z,2016-04-08T00:42:13Z,2016-04-08T00:42:13Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/43,138083847,43,Setup questions for user interviews,shivamgulati1991,14206806,closed,shifalijain,13879303,1611076,7,0,2016-03-03T06:02:46Z,2016-04-03T19:44:33Z,2016-04-03T19:44:33Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/42,138083808,42,Create Feedback survey ,shivamgulati1991,14206806,closed,priysha,16611558,1611076,7,0,2016-03-03T06:02:18Z,2016-04-03T19:45:53Z,2016-04-03T19:45:53Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/41,137486897,41,Outlook integration in JS,shivamgulati1991,14206806,closed,priysha,16611558,1564280,2,0,2016-03-01T06:38:10Z,2016-03-02T03:45:16Z,2016-03-02T03:45:16Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/40,137486619,40,Issue for event creation for google in JS,shivamgulati1991,14206806,closed,shivamgulati1991,14206806,1611075,6,1,2016-03-01T06:37:26Z,2016-04-03T19:44:41Z,2016-04-03T19:44:41Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/39,137462189,39,Setup for evernote for android,nishtha02,11819791,closed,nishtha02,11819791,1564280,2,0,2016-03-01T04:03:50Z,2016-03-01T22:25:12Z,2016-03-01T22:25:12Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/38,137460334,38,Meetup outh request setup,shifalijain,13879303,closed,shifalijain,13879303,1564280,2,1,2016-03-01T03:51:23Z,2016-03-01T04:01:06Z,2016-03-01T04:01:06Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/37,137400829,37,User testing phase 1,shivamgulati1991,14206806,closed,shifalijain,13879303,1611076,7,0,2016-02-29T22:36:00Z,2016-04-03T19:44:17Z,2016-04-03T19:44:17Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/36,137395745,36,Facebook sync enable issue,shivamgulati1991,14206806,closed,shifalijain,13879303,1564280,2,1,2016-02-29T22:17:46Z,2016-03-01T06:38:47Z,2016-03-01T06:38:47Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/35,137395654,35,Event setup in Android,shivamgulati1991,14206806,closed,nishtha02,11819791,1564280,2,1,2016-02-29T22:17:21Z,2016-03-01T21:16:28Z,2016-03-01T21:16:28Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/34,137382849,34,Filepath corrector limit issue in Android,priysha,16611558,closed,priysha,16611558,1564280,2,0,2016-02-29T21:32:40Z,2016-03-01T04:06:00Z,2016-03-01T04:06:00Z,
https://api.github.com/repos/shivamgulati1991/CSC510-SE-group-i/issues/33,137353567,33,Add additional subscribeByCalendar to GS,shivamgulati1991,14206806,closed,shivamgulati1991,14206806,1564280,2,1,2016-02-29T19:53:19Z,2016-02-29T21:01:42Z,2016-02-29T21:01:42Z,
